,all,neg,pos,neu
would,743,158.0,285.0,300.0
responded,1,,,1.0
going,1103,334.0,286.0,483.0
sooo,113,43.0,44.0,26.0
sad,488,397.0,6.0,85.0
miss,617,425.0,50.0,142.0
san,20,8.0,4.0,8.0
diego,11,6.0,,5.0
boss,22,8.0,5.0,9.0
bullying,1,1.0,,
interview,27,8.0,12.0,7.0
leave,141,54.0,24.0,63.0
alone,88,35.0,27.0,26.0
sons,8,2.0,2.0,4.0
could,496,142.0,168.0,186.0
put,152,37.0,47.0,68.0
releases,2,1.0,1.0,
already,244,102.0,58.0,84.0
bought,73,13.0,30.0,30.0
www,122,15.0,41.0,66.0
dothebouncy,1,,,1.0
smf,1,,,1.0
shameless,1,,,1.0
plugging,3,,1.0,2.0
best,314,31.0,221.0,62.0
rangers,3,,1.0,2.0
forum,7,4.0,2.0,1.0
earth,23,4.0,12.0,7.0
2am,7,2.0,3.0,2.0
feedings,1,,1.0,
baby,163,47.0,61.0,55.0
fun,541,72.0,352.0,117.0
smiles,11,,8.0,3.0
coos,1,,1.0,
soooo,73,26.0,28.0,19.0
high,73,32.0,14.0,27.0
journey,11,,8.0,3.0
wow,204,37.0,115.0,52.0
became,10,2.0,4.0,4.0
cooler,6,1.0,4.0,1.0
hehe,81,7.0,38.0,36.0
possible,24,7.0,8.0,9.0
much,664,228.0,254.0,182.0
love,1145,51.0,889.0,205.0
hopeful,7,4.0,1.0,2.0
reckon,6,2.0,1.0,3.0
chances,5,1.0,,4.0
minimal,2,,,2.0
never,298,107.0,63.0,128.0
gon,445,173.0,102.0,170.0
na,711,276.0,156.0,279.0
get,1432,436.0,368.0,628.0
cake,55,5.0,25.0,25.0
stuff,157,43.0,56.0,58.0
really,915,344.0,309.0,262.0
like,1353,478.0,418.0,457.0
song,171,30.0,86.0,55.0
story,48,14.0,10.0,24.0
taylor,28,5.0,15.0,8.0
swift,10,1.0,6.0,3.0
sharpie,1,1.0,,
running,80,30.0,15.0,35.0
dangerously,1,1.0,,
low,38,12.0,7.0,19.0
ink,3,1.0,,2.0
want,721,246.0,148.0,327.0
go,1280,403.0,295.0,582.0
music,154,36.0,70.0,48.0
tonight,472,127.0,167.0,178.0
lost,159,99.0,16.0,44.0
voice,31,15.0,8.0,8.0
test,66,11.0,19.0,36.0
lg,4,1.0,1.0,2.0
env2,1,,,1.0
uh,19,6.0,4.0,9.0
oh,681,234.0,209.0,238.0
sunburned,8,6.0,1.0,1.0
sok,1,1.0,,
trying,229,87.0,48.0,94.0
plot,4,2.0,1.0,1.0
alternatives,2,1.0,,1.0
speak,18,4.0,5.0,9.0
sigh,70,36.0,13.0,21.0
sick,258,201.0,12.0,45.0
past,60,20.0,13.0,27.0
days,337,93.0,104.0,140.0
thus,6,1.0,1.0,4.0
hair,151,47.0,33.0,71.0
looks,207,49.0,90.0,68.0
wierd,2,1.0,1.0,
didnt,117,43.0,18.0,56.0
hat,17,4.0,6.0,7.0
look,261,67.0,94.0,100.0
tinyurl,166,24.0,59.0,83.0
mnf4kw,1,1.0,,
back,914,243.0,252.0,419.0
home,740,192.0,201.0,347.0
every,112,34.0,34.0,44.0
hes,28,7.0,8.0,13.0
marly,1,,,1.0
sorry,491,352.0,21.0,118.0
hope,608,52.0,409.0,147.0
find,228,77.0,47.0,104.0
soon,302,52.0,120.0,130.0
playing,126,26.0,36.0,64.0
ghost,10,1.0,3.0,6.0
online,90,27.0,16.0,47.0
interesting,59,1.0,47.0,11.0
new,748,149.0,275.0,324.0
updates,42,5.0,10.0,27.0
kirin,1,,1.0,
pet,12,4.0,6.0,2.0
metamorph,1,,1.0,
third,23,4.0,8.0,11.0
job,178,56.0,61.0,61.0
wait,332,58.0,142.0,132.0
dragon,6,1.0,2.0,3.0
cleaning,60,16.0,10.0,34.0
house,236,79.0,71.0,86.0
family,151,33.0,75.0,43.0
ming,2,,,2.0
later,174,41.0,53.0,80.0
today,1134,336.0,355.0,443.0
got,1246,359.0,350.0,537.0
ta,172,42.0,47.0,83.0
restart,2,,,2.0
puter,83,37.0,8.0,38.0
thought,211,75.0,47.0,89.0
win7,6,1.0,,5.0
supposed,67,29.0,10.0,28.0
end,135,39.0,43.0,53.0
constant,10,3.0,3.0,4.0
rebootiness,1,,,1.0
see,807,174.0,275.0,358.0
wat,24,10.0,3.0,11.0
mean,140,55.0,28.0,57.0
bout,63,20.0,13.0,30.0
foll0w,1,,,1.0
friidays,1,,,1.0
called,87,31.0,19.0,37.0
lose,25,12.0,6.0,7.0
f0llowers,1,,,1.0
friday,225,79.0,43.0,103.0
smh,23,13.0,1.0,9.0
free,120,22.0,52.0,46.0
fillin,1,,1.0,
app,35,4.0,15.0,16.0
ipod,61,15.0,16.0,30.0
im,882,368.0,200.0,314.0
addicted,16,3.0,7.0,6.0
way,410,112.0,122.0,176.0
malaysia,3,2.0,1.0,
internet,90,53.0,10.0,27.0
access,24,11.0,2.0,11.0
twit,23,6.0,8.0,9.0
juss,8,4.0,4.0,
came,100,27.0,36.0,37.0
backk,2,,1.0,1.0
berkeleyy,1,,1.0,
omg,199,92.0,51.0,56.0
madd,3,2.0,1.0,
havent,48,14.0,13.0,21.0
minute,29,7.0,9.0,13.0
whassqoodd,1,,1.0,
went,216,60.0,65.0,91.0
sleep,416,156.0,102.0,158.0
power,31,7.0,10.0,14.0
cut,55,25.0,12.0,18.0
noida,2,1.0,,1.0
working,292,95.0,69.0,128.0
seen,115,21.0,38.0,56.0
twitter,532,124.0,173.0,235.0
design,24,9.0,8.0,7.0
quite,89,22.0,39.0,28.0
heavenly,4,,2.0,2.0
isn,13,2.0,7.0,4.0
unni,2,,2.0,
make,452,123.0,144.0,185.0
audition,7,3.0,2.0,2.0
fighting,20,9.0,5.0,6.0
dahye,1,,1.0,
consolation,3,1.0,1.0,1.0
bmi,1,1.0,,
tested,2,2.0,,
hahaha,113,17.0,54.0,42.0
says,108,27.0,26.0,55.0
obesed,1,1.0,,
well,717,180.0,260.0,277.0
unhappy,8,7.0,,1.0
minutes,89,25.0,20.0,44.0
funny,134,16.0,88.0,30.0
cute,129,4.0,107.0,18.0
kids,119,27.0,40.0,52.0
ahhh,45,13.0,17.0,15.0
slept,46,15.0,9.0,22.0
game,135,43.0,36.0,56.0
try,182,45.0,57.0,80.0
watch,227,51.0,61.0,115.0
tomorrow,510,118.0,166.0,226.0
though,429,93.0,154.0,182.0
play,168,42.0,41.0,85.0
