,all,neg,pos,neu
empty_split,24105,6000.0,8503.0,9602.0
I`d,97,20.0,35.0,42.0
have,2377,712.0,726.0,939.0
"responded,",1,,,1.0
if,611,151.0,168.0,292.0
I,8802,2956.0,2481.0,3365.0
were,330,90.0,104.0,136.0
going,911,295.0,233.0,383.0
Sooo,7,3.0,3.0,1.0
SAD,9,7.0,,2.0
will,794,191.0,261.0,342.0
miss,558,394.0,44.0,120.0
you,3808,792.0,1583.0,1433.0
here,409,119.0,116.0,174.0
in,3554,1045.0,1008.0,1501.0
San,14,7.0,2.0,5.0
Diego!!!,1,1.0,,
my,4932,1778.0,1354.0,1800.0
boss,16,7.0,3.0,6.0
is,3670,1245.0,1065.0,1360.0
bullying,1,1.0,,
me...,22,10.0,3.0,9.0
what,670,190.0,174.0,306.0
interview!,3,1.0,2.0,
leave,126,45.0,22.0,59.0
me,2140,763.0,544.0,833.0
alone,63,22.0,20.0,21.0
Sons,2,1.0,,1.0
of,3091,889.0,976.0,1226.0
"****,",41,24.0,4.0,13.0
why,310,127.0,45.0,138.0
couldn`t,89,39.0,18.0,32.0
they,541,170.0,144.0,227.0
put,145,35.0,44.0,66.0
them,312,82.0,111.0,119.0
on,2623,746.0,727.0,1150.0
the,8388,2301.0,2758.0,3329.0
releases,2,1.0,1.0,
we,656,162.0,231.0,263.0
already,172,68.0,40.0,64.0
bought,66,12.0,27.0,27.0
http://www.dothebouncy.com/smf,1,,,1.0
-,1147,228.0,453.0,466.0
some,744,155.0,256.0,333.0
shameless,1,,,1.0
plugging,3,,1.0,2.0
for,3575,855.0,1308.0,1412.0
best,235,29.0,161.0,45.0
Rangers,2,,1.0,1.0
forum,4,2.0,1.0,1.0
earth,13,3.0,5.0,5.0
2am,5,2.0,2.0,1.0
feedings,1,,1.0,
baby,100,29.0,39.0,32.0
are,1278,328.0,446.0,504.0
fun,340,50.0,214.0,76.0
when,610,221.0,162.0,227.0
he,387,127.0,102.0,158.0
all,1351,363.0,541.0,447.0
smiles,4,,3.0,1.0
and,4677,1442.0,1522.0,1713.0
coos,1,,1.0,
Soooo,8,3.0,3.0,2.0
high,59,28.0,9.0,22.0
Both,8,1.0,1.0,6.0
Journey!?,1,,1.0,
Wow...,4,,3.0,1.0
u,761,182.0,252.0,327.0
just,1719,529.0,485.0,705.0
became,10,2.0,4.0,4.0
cooler.,2,,2.0,
hehe...,1,,1.0,
(is,1,,1.0,
that,2150,760.0,607.0,783.0
possible!?),1,,1.0,
as,652,177.0,209.0,266.0
much,533,181.0,197.0,155.0
i,4263,1550.0,1206.0,1507.0
love,880,36.0,688.0,156.0
to,9809,2838.0,2914.0,4057.0
be,1923,529.0,661.0,733.0
"hopeful,",1,,,1.0
reckon,4,1.0,1.0,2.0
chances,4,1.0,,3.0
minimal,2,,,2.0
=P,8,,7.0,1.0
i`m,463,200.0,112.0,151.0
never,258,94.0,50.0,114.0
gonna,384,154.0,85.0,145.0
get,1373,420.0,356.0,597.0
cake,38,4.0,16.0,18.0
stuff,111,32.0,39.0,40.0
really,773,292.0,265.0,216.0
like,1258,450.0,382.0,426.0
song,125,25.0,58.0,42.0
Love,127,4.0,105.0,18.0
Story,6,1.0,4.0,1.0
by,421,121.0,140.0,160.0
Taylor,12,2.0,6.0,4.0
Swift,5,1.0,2.0,2.0
My,511,222.0,114.0,175.0
Sharpie,1,1.0,,
running,65,25.0,12.0,28.0
DANGERously,1,1.0,,
low,26,9.0,5.0,12.0
ink,2,1.0,,1.0
want,660,224.0,131.0,305.0
go,1101,362.0,243.0,496.0
music,103,26.0,44.0,33.0
tonight,231,65.0,83.0,83.0
but,1918,589.0,430.0,899.0
lost,130,86.0,12.0,32.0
voice.,4,3.0,,1.0
test,44,6.0,15.0,23.0
from,958,244.0,315.0,399.0
LG,3,1.0,1.0,1.0
enV2,1,,,1.0
Uh,3,1.0,1.0,1.0
"oh,",22,7.0,6.0,9.0
am,704,274.0,188.0,242.0
sunburned,5,4.0,,1.0
"S`ok,",1,1.0,,
trying,168,69.0,33.0,66.0
plot,3,2.0,1.0,
alternatives,2,1.0,,1.0
speak,15,3.0,3.0,9.0
*sigh*,20,11.0,4.0,5.0
i`ve,87,26.0,24.0,37.0
been,499,175.0,128.0,196.0
sick,164,134.0,7.0,23.0
past,53,17.0,11.0,25.0
few,146,24.0,47.0,75.0
days,250,69.0,75.0,106.0
"thus,",1,1.0,,
hair,120,40.0,26.0,54.0
looks,161,39.0,72.0,50.0
wierd.,1,1.0,,
didnt,107,40.0,16.0,51.0
a,6501,1758.0,2305.0,2438.0
hat,13,3.0,5.0,5.0
it,3024,889.0,958.0,1177.0
would,459,94.0,180.0,185.0
look...,1,1.0,,
http://tinyurl.com/mnf4kw,1,1.0,,
back,697,188.0,192.0,317.0
home,499,133.0,141.0,225.0
now,903,296.0,237.0,370.0
every,95,26.0,32.0,37.0
one,775,221.0,229.0,325.0
Hes,5,1.0,3.0,1.0
not,1516,655.0,240.0,621.0
into,203,62.0,51.0,90.0
oh,304,98.0,99.0,107.0
"Marly,",1,,,1.0
I`m,1696,660.0,438.0,598.0
so,2134,804.0,679.0,651.0
sorry!!,6,4.0,,2.0
hope,403,35.0,266.0,102.0
find,218,72.0,47.0,99.0
her,463,150.0,156.0,157.0
soon!!,7,,6.0,1.0
<3,182,21.0,112.0,49.0
Playing,16,1.0,6.0,9.0
Ghost,3,,2.0,1.0
Online,3,1.0,1.0,1.0
interesting.,9,,8.0,1.0
The,459,116.0,183.0,160.0
new,654,134.0,237.0,283.0
updates,27,1.0,7.0,19.0
Kirin,1,,1.0,
pet,10,3.0,5.0,2.0
Metamorph,1,,1.0,
third,17,1.0,6.0,10.0
job.,17,5.0,5.0,7.0
Can`t,117,31.0,38.0,48.0
wait,256,49.0,108.0,99.0
dragon,5,1.0,1.0,3.0
cleaning,40,11.0,8.0,21.0
house,147,55.0,31.0,61.0
family,104,23.0,48.0,33.0
who,225,69.0,65.0,91.0
comming,2,,,2.0
later,103,25.0,28.0,50.0
today..,14,5.0,4.0,5.0
gotta,113,30.0,33.0,50.0
restart,2,,,2.0
computer,57,26.0,4.0,27.0
..,130,35.0,36.0,59.0
thought,174,63.0,34.0,77.0
Win7,3,,,3.0
was,1731,477.0,623.0,631.0
supposed,64,28.0,10.0,26.0
an,599,164.0,212.0,223.0
end,97,27.0,29.0,41.0
constant,9,3.0,3.0,3.0
rebootiness,1,,,1.0
SEe,1,,,1.0
waT,1,,,1.0
Mean,3,1.0,,2.0
bOuT,1,,,1.0
FoLL0w,1,,,1.0
fRiiDaYs...,1,,,1.0
It`S,1,,,1.0
cALLed,1,,,1.0
LoSe,1,,,1.0
f0LloWeRs,1,,,1.0
FridAy...,1,,,1.0
smH,2,,,2.0
free,86,16.0,37.0,33.0
fillin`,1,,1.0,
app,21,3.0,8.0,10.0
ipod,26,7.0,7.0,12.0
"fun,",18,2.0,14.0,2.0
im,632,265.0,143.0,224.0
addicted,13,2.0,6.0,5.0
sorry.,26,22.0,2.0,2.0
On,100,21.0,16.0,63.0
way,327,87.0,95.0,145.0
Malaysia...no,1,1.0,,
internet,54,34.0,5.0,15.0
access,22,10.0,2.0,10.0
Twit,2,2.0,,
juss,8,4.0,4.0,
came,84,24.0,29.0,31.0
backk,1,,1.0,
Berkeleyy,1,,1.0,
;,17,6.0,4.0,7.0
omg,52,27.0,13.0,12.0
its,662,227.0,194.0,241.0
madd,2,1.0,1.0,
out,1265,371.0,376.0,518.0
there,529,136.0,154.0,239.0
havent,44,14.0,9.0,21.0
minute,22,6.0,6.0,10.0
.,275,76.0,95.0,104.0
whassqoodd,1,,1.0,
?,248,37.0,77.0,134.0
Went,34,9.0,15.0,10.0
sleep,281,109.0,70.0,102.0
power,20,4.0,7.0,9.0
cut,49,24.0,9.0,16.0
Noida,2,1.0,,1.0
Power,9,3.0,2.0,4.0
up,1147,368.0,280.0,499.0
working,214,68.0,48.0,98.0
too,718,253.0,244.0,221.0
now.,182,66.0,51.0,65.0
Have,168,28.0,89.0,51.0
seen,98,21.0,31.0,46.0
twitter,242,55.0,72.0,115.0
design?,1,,1.0,
Quite....heavenly,1,,1.0,
isn`****?,5,1.0,3.0,1.0
unni,2,,2.0,
make,419,120.0,134.0,165.0
audition,7,3.0,2.0,2.0
fighting,13,8.0,2.0,3.0
dahye,1,,1.0,
!,247,53.0,104.0,90.0
If,148,33.0,46.0,69.0
any,248,89.0,47.0,112.0
consolation,1,1.0,,
got,961,292.0,272.0,397.0
BMI,1,1.0,,
tested,2,2.0,,
hahaha,52,9.0,23.0,20.0
says,104,25.0,24.0,55.0
obesed,1,1.0,,
well,343,88.0,125.0,130.0
being,274,132.0,74.0,68.0
