textID,text,sentiment
cb774db0d1,i/d have respond if i be go,neutral
549e992a42,sooo sad i will miss you here in san diego,negative
088c60f138,my bos be bully me,negative
9642c003ef,what interview leave me alone,negative
358bd9e861,son of * * * * why couldn/t they put them on the release we already buy,negative
28b57f3990,: //www dothebouncy /smf some shameless plug for the best ranger forum on earth,neutral
6e0c6d75b1,be feeding for the baby be fun when he be all smile and coo,positive
50e14c0bb8,soooo high,neutral
e050245fbd,both of you,neutral
fc2cbefa9d,journey wow u just become cool hehe be that possible,positive
2339a9b08b,as much as i love to be hopeful i reckon the chance be minimal =p i/m never gonna get my cake and stuff,neutral
16fab9f95b,i really really like the song love story by taylor swift,positive
74a76f6e0a,my sharpie be run dangerously low on ink,negative
04dd1d2e34,i want to go to music tonight but i lose my voice,negative
bbe3cbf620,test test from the lg env,neutral
8a939bfb59,uh oh i be sunburn,negative
3440297f8b,s/ok try to plot alternative as we speak * sigh *,negative
919fa93391,i/ve be sick for the past few day and thus my hair look wierd if i didnt have a hat on it would look: //tinyurl /mnfkw,negative
af3fed7fc3,be back home now gonna miss every one,negative
40e7becabf,he just not that into you,neutral
04d17ef61e,oh marly i/m so sorry i hope you find her soon <<,neutral
e48b0b8a23,play ghost online be really interest the new update be kirin pet and metamorph for third job can/t wait to have a dragon pet,positive
7de057cf40,be clean the house for her family who be ming later today,neutral
9ce5570064,get ta restart my puter i think win be suppose to put an end to the constant rebootiness,neutral
0c8cc71c46,see wat i mean bout follw friidays it/s call lose fllowers friday smh,neutral
e00c6ef376,the free fillin/ app on my ipod be fun im addict,positive
852edc3769,i/m sorry,negative
bdc32ea43c,on the way to malaysia no internet access to twit,negative
6ce4a4954b,juss come backk from berkeleyy; omg its madd fun out there havent be out there in a minute whassqoodd,positive
d22e6d40a7,go to sleep and there be a power cut in noida power back up not work too,negative
d33f811375,i/m go home now have you see my new twitter design quite heavenly isn/ * * * *,positive
7d8c4c11e4,i hope unni will make the audition fight dahye unni,positive
1c31703aef,if it be any consolation i get my bmi test hahaha it say i be obesed well so much for be unhappy for about minute,negative
2dc51711bc,that/s very funny cute kid,positive
d21ab5855b,ahhh i sleep through the game i/m gonna try my best to watch tomorrow though i hope we play army,neutral
4f5267ad70,thats it its the end tear for fear vs eric prydz dj hero: //bit ly/hpbg,neutral
2724775d6b,bear and raise in nyc and living in texas for the past year i still miss ny,negative
1cbc812ece,just in case you wonder we be really busy today and this ing with with add ton of new blog and update stay tune,neutral
4b61dffbeb,i/m soooooo sleeeeepy the last day o/ school be today sniffle,negative
2863f435bd,a little happy for the wine jeje ok it/sm my free time so who care jaja i love this day,positive
d93afa85cf,car not happy big big dent in boot hop theyre not go to write it off cross finger and wait,neutral
fab6b7d16c,im an avid fan of * * * * magazine and i love your magazine,positive
2e7082d1c8,mayday,neutral
684081e4e7,ratt rock nashville tonite one thing suck no encore like in the /s they still have a fun show pearcy have that hott bad boy look,neutral
c77717b103,i love to but i/m only available from pm and where dear would love to help convert her vids ï¿½,positive
a9d499e123,the girl in the hair salon ask me 'shall i trim your eyebrow' how old do i feel,neutral
ddf296dffa,egh blah and boooooooooooo i dunno wannago to work hangover suckkkkkk im a drunk mess,negative
c3924dc9e4,: visiting my friendster and facebook,neutral
3d9d4b0b55,i donbt like to peel prawn i also dont like go shop run out of money and crawl round the car look for more,negative
3fcea4debc,which case i get a new one last week and i/m not thrill at all with mine,negative
a3ae670885,then you should check out: //twittersucks and connect with other tweeple who hate twitter,neutral
15d5f3a41b,also bore at school its my third freelesson freistunde,neutral
3c4a21b2cb,hm both of us i guess,neutral
11084dac09,it be * * * * u have dissappointed me that past few day,negative
d8ba2a99a9,romance zero be funny,positive
e77fd45003,i/d rather do the early run but i be a morning runner,neutral
b159318d76,bah a coworker run into work late and her bag smack into my knee it really hurt now,negative
6086b1f016,will be back later: //plurk /p/rpk,neutral
703afdc44b,aw torn ace of heart #hunchback,negative
90f3d2b572,what fun be you speaking of,neutral
52483f7da8,i lose all my friend i/m alone and sleepy i wannago home,negative
a4b0888da6,haha yes,neutral
2a9765b7f9,i give in to easily,negative
90a2cdb657,what good way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine our wine be a red,positive
98f25bc596,mannnn get an iphone im jealous: //bit ly/ngnar,negative
23e1f7dca4,be at a photoshoot,neutral
95e12b1cb1,he/s awesome have you work with him before he/s a good friend,positive
c34feef039,yay play a show tonight boo it/s gonna soggy and i/m at work right before play,neutral
fa2654e730,chilliin,positive
187494c25b,if you know such agent do let me know,neutral
4213627c3c,i still smell of smoke #kitchenfire,neutral
a4e00d4d26,a celtic lakers rematch sound well don/t you think lol,positive
04e2e334de,anyone have an extra keane ticket i promise to buy you a drink and take rad pic for your fb / blog / flickr etc,neutral
0c4aa867d0,'you can ride one you can catch one but its not summer til you pop open one ',neutral
a6c61eac26,she be good so gor juz yea i kno i ask her yesterday when we be at tha hospital if she talk to u and she say no,neutral
94bd67443c,ok i/m out of here for now just pop in to say hi and check on thing i/ll probably head to the guttah later on tonight,neutral
35f393a245,wow i be really missin the fam ily today baddd,negative
b2c9f115b1,my source say no,neutral
0a61cbf4b5,i be sooo tired,negative
ee9ec7a5a4,hey you change your twitter account and you didn/t even tell me,neutral
bbbc46889b,thank yyyyyyyyyoooooooooouuuuu,positive
58d382e07a,lucky kid i so wannasee loserville pity im in oz,positive
cb4d439ebc,fell asleep wait for my ride,neutral
64ed512788,sick with a flu like thing,negative
4cd390c007,still no reply from about my simfinger problem so no irape parody video until i get a response sorry guy,negative
3d2fcd78c8,happy star war day everyone and enjoy the holiday uk,positive
0c0563423e,mile from you i/m in essex so give me plenty of warn so i can arrive in time to get at least one of those free beer,neutral
cd0d522bb1,his snoring be so annoying n it keep me from sleep like right now lol but i honestly wud miss it if it eva leave i love him,neutral
bffa3ddd61,i miss you bby wish you be go tomorrow to make me do good,negative
9339ee8e0b,well what im work on isn/t quite ready to post about publicly still beta test but its a cool new script i cod,positive
a76f9cf8ce,sweeeeet san fran be awesome love it there,positive
4ce121e2ad,mounce yes and it last way past my bedtime,neutral
a3de81e1ba,hi how be you do * just join twitter *,neutral
55bacda5eb,wait for sleep pill to kick in gonna be so tired at work tomorrow,negative
b63ed6da62,eat ice cream and then get ready for graduation,neutral
4c41a35a2a,happy mother day to all you mums out there,positive
61a8e11e8a,casey/s go but why so she piddle a little on the carpet she/s prolly freak cause it/s new can we get her back,negative
447dc22c81,hemp cloth be marvelous but unfortunately no,negative
3408db03a3,gonna read a story bout adam lambert online then bed nighty night,neutral
92e1b6846e,we saw that in none d the baddie/s the best,positive
2207d982bc,be and im on the beach pretty,positive
15e01e1749,certainly not cheer than huh,neutral
ebcdf07ac5,week post my'horrible traumatic jumping cholla accident' cholla/s next dirty trick: piece be start to emerge from my hand ouch,negative
fd9fb4f1ad,i realy want to go out cause its so nice but everybodys busy,negative
6b018d3d2d,awesome i/m down in ocean beach if you know where that be by the way 'yourbiggestfan' i/m a re al big fan of you rs,positive
327a009a7d,at least i get to watch over time let/s go pen,neutral
d0d3c6f298,cool i wear black most of the time when i go out,neutral
40649553ef,haha i do not know how to work blip apart from the obvious thanks for reblipping my song have a nice day * * * *,positive
561b44a42f,have a safe trip joshy poo you/ll knock them dead at your speech,positive
a05aea73d7,woof i wish i be allow to go,positive
9c4817f73b,if u have a friendster add me my email adress add me loco crime st add me leave some ment,neutral
f0c1601d8b,have ticket,neutral
d421fbd332,thank you afrin nasal spray also i get a giant teacup tonight,positive
99b7ec4b0b,acsm it/s unfathomable i think the other one and the be one that should be keep to the fort of our bedroom yes,neutral
a655fbb5eb,aww i love my daddy he work day a week almost all day and still try to go to sf with all of us,positive
43e9a93104,so many test todayyy i don/t feel confident about anyy,negative
401869d615,graduation be do im a little sad anyone want to hang out,negative
9843c4688e,hahaa your awesomee,positive
87fbf14655,holy smoke star trek be freak awesomeeeee,positive
22d1806fa0,i hate fallout it keep make me jump i/m also low on health money ammo and food don/t worry i/ll get through it,neutral
9d2cffd953,i have it on my itunes but then i lose all my song,neutral
f78761f7ec,what/s with the gloomy weather the sun must be too tired to e out and play head to victoria garden for some impulse buy haha,neutral
66057d58c2,not look forward to next week: math geography english and french exam total hour,negative
af90ad5989,poor you get outside and sleep in the garden the sun will do you good but don/t forget suncream,negative
f0460d611d,not well,negative
6649f3558c,not a prob hun,positive
24532ab83c,at dad watch some mtv and be go on sims in a minutee,neutral
8e1583cb08,absolutely,neutral
4ea61dbc7a,what/s the matter chickadee,neutral
94f67cfa6d,hey mia totally adore your music when will your cd be out,positive
29dfaf5e3b,shop clean bmfing webcam chat with nephew nothing spesh but a good bank holiday monday nonetheless,positive
974b35f889,=o you need to ask him something lmao i love him too,positive
b495300bbf,those splinter look very painful but you be be very heroic save mr pickle,negative
504539e6ec,why be you sad,negative
6903cb08f2,nice to see you tweet it/s sunday th may and we/re celebrate mother/s day here today so be nice to yer mom,positive
1996048e7a,decide trans frm relaxed natural hair but i wish my whole head look like my roots age of the instant gratification,positive
