,Security,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
11,$QQQ,699.0,0.5352220520673813,607.0,0.4647779479326187,1306.0,Unpredictable
17,$TSLA,565.0,0.6924019607843137,251.0,0.3075980392156863,816.0,Unpredictable
46,$AAPL,450.0,0.75,150.0,0.25,600.0,Unpredictable
54,$AMZN,372.0,0.8,93.0,0.2,465.0,Bullish
27,$DJIA,176.0,0.411214953271028,252.0,0.5887850467289719,428.0,Unpredictable
29,$SPX,108.0,0.2918918918918919,262.0,0.7081081081081081,370.0,Unpredictable
19,$DIA,139.0,0.4440894568690096,174.0,0.5559105431309904,313.0,Unpredictable
14,$MSFT,228.0,0.8260869565217391,48.0,0.17391304347826086,276.0,Bullish
49,$NFLX,146.0,0.6320346320346321,85.0,0.36796536796536794,231.0,Unpredictable
0,$BA,172.0,0.7926267281105991,45.0,0.2073732718894009,217.0,Unpredictable
56,$AMD,163.0,0.8029556650246306,40.0,0.19704433497536947,203.0,Bullish
64,$FB,126.0,0.7682926829268293,38.0,0.23170731707317074,164.0,Unpredictable
90,$MRNA,122.0,0.7870967741935484,33.0,0.2129032258064516,155.0,Unpredictable
66,$SPCE,129.0,0.8958333333333334,15.0,0.10416666666666667,144.0,Bullish
12,$NIO,96.0,0.75,32.0,0.25,128.0,Unpredictable
43,$ES_F,73.0,0.5887096774193549,51.0,0.4112903225806452,124.0,Unpredictable
44,$VIX,51.0,0.4473684210526316,63.0,0.5526315789473685,114.0,Unpredictable
69,$ROKU,101.0,0.926605504587156,8.0,0.07339449541284404,109.0,Bullish
142,$IWM,59.0,0.5959595959595959,40.0,0.40404040404040403,99.0,Unpredictable
169,$AZN,80.0,0.8602150537634409,13.0,0.13978494623655913,93.0,Bullish
55,$NVDA,55.0,0.6470588235294118,30.0,0.35294117647058826,85.0,Unpredictable
122,$JPM,53.0,0.654320987654321,28.0,0.345679012345679,81.0,Unpredictable
59,$NASDAQ,54.0,0.6923076923076923,24.0,0.3076923076923077,78.0,Unpredictable
30,$AAL,61.0,0.8243243243243243,13.0,0.17567567567567569,74.0,Bullish
288,$NDX,19.0,0.2753623188405797,50.0,0.7246376811594203,69.0,Unpredictable
152,$BTC.X,41.0,0.6612903225806451,21.0,0.3387096774193548,62.0,Unpredictable
48,$DIS,44.0,0.7213114754098361,17.0,0.2786885245901639,61.0,Unpredictable
209,$GLD,32.0,0.5423728813559322,27.0,0.4576271186440678,59.0,Unpredictable
5,$GNLN,43.0,0.7288135593220338,16.0,0.2711864406779661,59.0,Unpredictable
249,$UVXY,18.0,0.3157894736842105,39.0,0.6842105263157895,57.0,Unpredictable
424,$W,12.0,0.21818181818181817,43.0,0.7818181818181819,55.0,Unpredictable
3,$NCLH,43.0,0.7962962962962963,11.0,0.2037037037037037,54.0,Unpredictable
10,$BABA,52.0,0.9629629629629629,2.0,0.037037037037037035,54.0,Bullish
1,$CCL,37.0,0.7115384615384616,15.0,0.28846153846153844,52.0,Unpredictable
131,$XLF,30.0,0.5769230769230769,22.0,0.4230769230769231,52.0,Unpredictable
9,$WMT,51.0,0.9807692307692307,1.0,0.019230769230769232,52.0,Bullish
127,$VXX,34.0,0.68,16.0,0.32,50.0,Unpredictable
120,$BOXL,49.0,1.0,0.0,0.0,49.0,Bullish
65,$GOOG,42.0,0.8571428571428571,7.0,0.14285714285714285,49.0,Bullish
231,$ZM,12.0,0.2608695652173913,34.0,0.7391304347826086,46.0,Unpredictable
104,$WKHS,40.0,0.8888888888888888,5.0,0.1111111111111111,45.0,Bullish
