,Word,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
1,go,1161.0,0.5523311132254995,941.0,0.44766888677450045,2102.0,Unpredictable
80,not,822.0,0.44625407166123776,1020.0,0.5537459283387622,1842.0,Unpredictable
20,market,792.0,0.45438898450946646,951.0,0.5456110154905336,1743.0,Unpredictable
46,get,885.0,0.5383211678832117,759.0,0.46167883211678834,1644.0,Unpredictable
53,bear,1287.0,0.8523178807947019,223.0,0.147682119205298,1510.0,Bullish
109,buy,790.0,0.649671052631579,426.0,0.3503289473684211,1216.0,Unpredictable
60,day,704.0,0.6148471615720524,441.0,0.3851528384279476,1145.0,Unpredictable
33,stock,652.0,0.6042632066728453,427.0,0.3957367933271548,1079.0,Unpredictable
337,week,540.0,0.5561277033985582,431.0,0.44387229660144184,971.0,Unpredictable
38,like,503.0,0.5283613445378151,449.0,0.47163865546218486,952.0,Unpredictable
151,bull,309.0,0.3319011815252417,622.0,0.6680988184747583,931.0,Unpredictable
62,time,504.0,0.5472312703583062,417.0,0.4527687296416938,921.0,Unpredictable
27,see,460.0,0.5336426914153132,402.0,0.46635730858468677,862.0,Unpredictable
6,today,498.0,0.5928571428571429,342.0,0.40714285714285714,840.0,Unpredictable
37,look,476.0,0.5700598802395209,359.0,0.429940119760479,835.0,Unpredictable
152,make,528.0,0.6353790613718412,303.0,0.36462093862815886,831.0,Unpredictable
113,put,301.0,0.40896739130434784,435.0,0.5910326086956522,736.0,Unpredictable
136,short,391.0,0.5415512465373962,331.0,0.4584487534626039,722.0,Unpredictable
227,call,515.0,0.7152777777777778,205.0,0.2847222222222222,720.0,Unpredictable
178,no,300.0,0.42075736325385693,413.0,0.5792426367461431,713.0,Unpredictable
69,trade,486.0,0.7043478260869566,204.0,0.2956521739130435,690.0,Unpredictable
449,back,349.0,0.5147492625368731,329.0,0.48525073746312686,678.0,Unpredictable
45,high,405.0,0.6,270.0,0.4,675.0,Unpredictable
115,tomorrow,347.0,0.5156017830609212,326.0,0.48439821693907875,673.0,Unpredictable
379,sell,248.0,0.3751891074130106,413.0,0.6248108925869894,661.0,Unpredictable
415,trump,270.0,0.4090909090909091,390.0,0.5909090909090909,660.0,Unpredictable
119,money,345.0,0.5502392344497608,282.0,0.44976076555023925,627.0,Unpredictable
30,good,378.0,0.6106623586429726,241.0,0.3893376413570275,619.0,Unpredictable
408,next,348.0,0.5631067961165048,270.0,0.4368932038834951,618.0,Unpredictable
230,news,337.0,0.5533661740558292,272.0,0.4466338259441708,609.0,Unpredictable
4,let,356.0,0.5993265993265994,238.0,0.4006734006734007,594.0,Unpredictable
10,us,326.0,0.5630397236614854,253.0,0.4369602763385147,579.0,Unpredictable
219,big,301.0,0.524390243902439,273.0,0.47560975609756095,574.0,Unpredictable
47,pump,297.0,0.5210526315789473,273.0,0.4789473684210526,570.0,Unpredictable
278,say,277.0,0.5045537340619308,272.0,0.49544626593806923,549.0,Unpredictable
