,Security,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
11,QQQ,1717.0,0.5646169023347583,1324.0,0.4353830976652417,3041.0,Unpredictable
38,AAPL,1304.0,0.7706855791962175,388.0,0.2293144208037825,1692.0,Unpredictable
15,TSLA,1204.0,0.7478260869565218,406.0,0.25217391304347825,1610.0,Unpredictable
43,AMZN,913.0,0.8430286241920592,170.0,0.1569713758079409,1083.0,Bullish
21,DJIA,456.0,0.4908503767491927,473.0,0.5091496232508074,929.0,Unpredictable
13,MSFT,669.0,0.8745098039215686,96.0,0.12549019607843137,765.0,Bullish
23,SPX,272.0,0.3646112600536193,474.0,0.6353887399463807,746.0,Unpredictable
17,DIA,389.0,0.5581061692969871,308.0,0.4418938307030129,697.0,Unpredictable
45,AMD,487.0,0.7931596091205212,127.0,0.20684039087947884,614.0,Unpredictable
0,BA,371.0,0.7910447761194029,98.0,0.208955223880597,469.0,Unpredictable
12,NIO,372.0,0.8836104513064132,49.0,0.1163895486935867,421.0,Bullish
49,FB,315.0,0.7777777777777778,90.0,0.2222222222222222,405.0,Unpredictable
40,NFLX,270.0,0.7397260273972602,95.0,0.2602739726027397,365.0,Unpredictable
44,NVDA,268.0,0.7976190476190477,68.0,0.20238095238095238,336.0,Unpredictable
142,GLD,255.0,0.8173076923076923,57.0,0.18269230769230768,312.0,Bullish
252,SLV,274.0,0.9547038327526133,13.0,0.04529616724738676,287.0,Bullish
51,SPCE,258.0,0.9214285714285714,22.0,0.07857142857142857,280.0,Bullish
10,BABA,256.0,0.9808429118773946,5.0,0.019157088122605363,261.0,Bullish
107,IWM,167.0,0.6900826446280992,75.0,0.30991735537190085,242.0,Unpredictable
67,MRNA,172.0,0.8,43.0,0.2,215.0,Bullish
36,VIX,101.0,0.49029126213592233,105.0,0.5097087378640777,206.0,Unpredictable
24,AAL,179.0,0.9179487179487179,16.0,0.08205128205128205,195.0,Bullish
53,ROKU,151.0,0.9041916167664671,16.0,0.09580838323353294,167.0,Bullish
6,CGC,152.0,0.9743589743589743,4.0,0.02564102564102564,156.0,Bullish
125,AZN,132.0,0.8979591836734694,15.0,0.10204081632653061,147.0,Bullish
39,DIS,120.0,0.8275862068965517,25.0,0.1724137931034483,145.0,Bullish
719,KODK,73.0,0.5177304964539007,68.0,0.48226950354609927,141.0,Unpredictable
169,UVXY,66.0,0.5076923076923077,64.0,0.49230769230769234,130.0,Unpredictable
110,SRNE,125.0,0.9615384615384616,5.0,0.038461538461538464,130.0,Bullish
179,INTC,106.0,0.8217054263565892,23.0,0.17829457364341086,129.0,Bullish
91,JPM,81.0,0.7105263157894737,33.0,0.2894736842105263,114.0,Unpredictable
16,TWTR,93.0,0.8303571428571429,19.0,0.16964285714285715,112.0,Bullish
188,NDX,29.0,0.2636363636363636,81.0,0.7363636363636363,110.0,Unpredictable
9,WMT,96.0,0.96,4.0,0.04,100.0,Bullish
28,GNUS,92.0,0.968421052631579,3.0,0.031578947368421054,95.0,Bullish
3,NCLH,74.0,0.8314606741573034,15.0,0.16853932584269662,89.0,Bullish
35,NKLA,64.0,0.735632183908046,23.0,0.26436781609195403,87.0,Unpredictable
95,VXX,53.0,0.6309523809523809,31.0,0.36904761904761907,84.0,Unpredictable
50,GOOG,61.0,0.7261904761904762,23.0,0.27380952380952384,84.0,Unpredictable
121,DAL,75.0,0.9036144578313253,8.0,0.0963855421686747,83.0,Bullish
98,XLF,53.0,0.6463414634146342,29.0,0.35365853658536583,82.0,Unpredictable
213,DXY,29.0,0.35802469135802467,52.0,0.6419753086419753,81.0,Unpredictable
47,DKNG,78.0,0.9629629629629629,3.0,0.037037037037037035,81.0,Bullish
1,CCL,54.0,0.7297297297297297,20.0,0.2702702702702703,74.0,Unpredictable
5,GNLN,55.0,0.7638888888888888,17.0,0.2361111111111111,72.0,Unpredictable
128,PFE,69.0,0.9583333333333334,3.0,0.041666666666666664,72.0,Bullish
145,SQQQ,26.0,0.3611111111111111,46.0,0.6388888888888888,72.0,Unpredictable
90,BOXL,69.0,1.0,0.0,0.0,69.0,Bullish
77,WKHS,60.0,0.9090909090909091,6.0,0.09090909090909091,66.0,Bullish
209,HAL,66.0,1.0,0.0,0.0,66.0,Bullish
254,W,14.0,0.21875,50.0,0.78125,64.0,Unpredictable
73,SAVE,58.0,0.9666666666666667,2.0,0.03333333333333333,60.0,Bullish
201,NVAX,53.0,0.8833333333333333,7.0,0.11666666666666667,60.0,Bullish
155,ZM,14.0,0.23728813559322035,45.0,0.7627118644067796,59.0,Unpredictable
340,SNAP,53.0,0.9137931034482759,5.0,0.08620689655172414,58.0,Bullish
190,WFC,43.0,0.7543859649122807,14.0,0.24561403508771928,57.0,Unpredictable
269,IBIO,56.0,1.0,0.0,0.0,56.0,Bullish
64,BAC,51.0,0.9272727272727272,4.0,0.07272727272727272,55.0,Bullish
140,TLT,40.0,0.7407407407407407,14.0,0.25925925925925924,54.0,Unpredictable
883,RKT,51.0,0.9444444444444444,3.0,0.05555555555555555,54.0,Bullish
124,GILD,48.0,0.8888888888888888,6.0,0.1111111111111111,54.0,Bullish
25,VOO,50.0,0.9803921568627451,1.0,0.0196078431372549,51.0,Bullish
116,SPAQ,48.0,0.9411764705882353,3.0,0.058823529411764705,51.0,Bullish
126,TLRY,44.0,0.88,6.0,0.12,50.0,Bullish
114,SHOP,33.0,0.6875,15.0,0.3125,48.0,Unpredictable
122,UAL,38.0,0.8260869565217391,8.0,0.17391304347826086,46.0,Bullish
156,SQ,41.0,0.9111111111111111,4.0,0.08888888888888889,45.0,Bullish
78,XSPA,43.0,0.9555555555555556,2.0,0.044444444444444446,45.0,Bullish
329,GDX,24.0,0.5333333333333333,21.0,0.4666666666666667,45.0,Unpredictable
184,F,33.0,0.75,11.0,0.25,44.0,Unpredictable
226,INO,36.0,0.8181818181818182,8.0,0.18181818181818182,44.0,Bullish
84,SPXL,22.0,0.5116279069767442,21.0,0.4883720930232558,43.0,Unpredictable
367,CAT,39.0,0.975,1.0,0.025,40.0,Bullish
172,EVRI,37.0,1.0,0.0,0.0,37.0,Bullish
41,MU,26.0,0.7027027027027027,11.0,0.2972972972972973,37.0,Unpredictable
105,TWO,36.0,1.0,0.0,0.0,36.0,Bullish
335,QCOM,25.0,0.6944444444444444,11.0,0.3055555555555556,36.0,Unpredictable
94,GS,28.0,0.8,7.0,0.2,35.0,Bullish
279,GWPH,31.0,0.8857142857142857,4.0,0.11428571428571428,35.0,Bullish
60,JNJ,33.0,0.9705882352941176,1.0,0.029411764705882353,34.0,Bullish
137,UPRO,33.0,1.0,0.0,0.0,33.0,Bullish
88,XLK,25.0,0.7575757575757576,8.0,0.24242424242424243,33.0,Unpredictable
258,GE,22.0,0.6875,10.0,0.3125,32.0,Unpredictable
158,MGM,29.0,0.90625,3.0,0.09375,32.0,Bullish
68,NAIL,31.0,0.96875,1.0,0.03125,32.0,Bullish
58,V,31.0,1.0,0.0,0.0,31.0,Bullish
185,SPG,30.0,1.0,0.0,0.0,30.0,Bullish
527,PLUG,29.0,0.9666666666666667,1.0,0.03333333333333333,30.0,Bullish
412,TSM,18.0,0.6,12.0,0.4,30.0,Unpredictable
219,C,27.0,0.9,3.0,0.1,30.0,Bullish
144,TQQQ,19.0,0.6551724137931034,10.0,0.3448275862068966,29.0,Unpredictable
72,RTX,29.0,1.0,0.0,0.0,29.0,Bullish
217,SPXS,15.0,0.5172413793103449,14.0,0.4827586206896552,29.0,Unpredictable
388,UBER,18.0,0.6206896551724138,11.0,0.3793103448275862,29.0,Unpredictable
193,IDEX,28.0,1.0,0.0,0.0,28.0,Bullish
2,RCL,16.0,0.5714285714285714,12.0,0.42857142857142855,28.0,Unpredictable
31,JD,28.0,1.0,0.0,0.0,28.0,Bullish
241,EROS,10.0,0.37037037037037035,17.0,0.6296296296296297,27.0,Unpredictable
19,JNUG,22.0,0.8148148148148148,5.0,0.18518518518518517,27.0,Bullish
578,FE,27.0,1.0,0.0,0.0,27.0,Bullish
191,PTON,24.0,0.8888888888888888,3.0,0.1111111111111111,27.0,Bullish
174,ATVI,27.0,1.0,0.0,0.0,27.0,Bullish
346,DAX,5.0,0.19230769230769232,21.0,0.8076923076923077,26.0,Bearish
240,USO,8.0,0.3076923076923077,18.0,0.6923076923076923,26.0,Unpredictable
134,SBUX,16.0,0.64,9.0,0.36,25.0,Unpredictable
248,ABT,25.0,1.0,0.0,0.0,25.0,Bullish
410,RUT,3.0,0.12,22.0,0.88,25.0,Bearish
761,PRPO,24.0,0.96,1.0,0.04,25.0,Bullish
528,MCD,13.0,0.5652173913043478,10.0,0.43478260869565216,23.0,Unpredictable
147,SOXL,16.0,0.6956521739130435,7.0,0.30434782608695654,23.0,Unpredictable
636,MARA,23.0,1.0,0.0,0.0,23.0,Bullish
163,BYND,19.0,0.8260869565217391,4.0,0.17391304347826086,23.0,Bullish
794,MCFT,22.0,1.0,0.0,0.0,22.0,Bullish
264,IBB,21.0,0.9545454545454546,1.0,0.045454545454545456,22.0,Bullish
196,WORK,21.0,0.9545454545454546,1.0,0.045454545454545456,22.0,Bullish
640,SLB,22.0,1.0,0.0,0.0,22.0,Bullish
534,FSLY,12.0,0.5454545454545454,10.0,0.45454545454545453,22.0,Unpredictable
744,KNDI,21.0,1.0,0.0,0.0,21.0,Bullish
220,OSTK,20.0,0.9523809523809523,1.0,0.047619047619047616,21.0,Bullish
166,LCA,19.0,0.9047619047619048,2.0,0.09523809523809523,21.0,Bullish
63,PYPL,18.0,0.9,2.0,0.1,20.0,Bullish
228,SPXU,1.0,0.05,19.0,0.95,20.0,Bearish
123,LUV,19.0,0.95,1.0,0.05,20.0,Bullish
212,UUP,11.0,0.55,9.0,0.45,20.0,Unpredictable
339,HD,15.0,0.7894736842105263,4.0,0.21052631578947367,19.0,Unpredictable
69,ITB,19.0,1.0,0.0,0.0,19.0,Unpredictable
8,PM,18.0,1.0,0.0,0.0,18.0,Unpredictable
157,SHLL,16.0,0.8888888888888888,2.0,0.1111111111111111,18.0,Unpredictable
348,RIOT,17.0,0.9444444444444444,1.0,0.05555555555555555,18.0,Unpredictable
224,PEP,18.0,1.0,0.0,0.0,18.0,Unpredictable
52,REGN,17.0,1.0,0.0,0.0,17.0,Unpredictable
151,NBRV,15.0,0.8823529411764706,2.0,0.11764705882352941,17.0,Unpredictable
82,KSS,17.0,1.0,0.0,0.0,17.0,Unpredictable
403,GOL,17.0,1.0,0.0,0.0,17.0,Unpredictable
173,EBAY,11.0,0.6875,5.0,0.3125,16.0,Unpredictable
391,TVIX,7.0,0.4375,9.0,0.5625,16.0,Unpredictable
