,User,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
4383,MarsProbe,0.0,0.0,515.0,1.0,515.0,Bearish
183,OhYesNotMe,375.0,0.9689922480620154,12.0,0.031007751937984496,387.0,Bullish
2780,VTGuy,274.0,0.817910447761194,61.0,0.18208955223880596,335.0,Bullish
1575,Economist4401,5.0,0.016129032258064516,305.0,0.9838709677419355,310.0,Bearish
3,HeyYouWhoMe,306.0,1.0,0.0,0.0,306.0,Bullish
164,DefStar,302.0,1.0,0.0,0.0,302.0,Bullish
6,Burrrr_time,247.0,0.9959677419354839,1.0,0.004032258064516129,248.0,Bullish
1469,InvestorShock,31.0,0.1336206896551724,201.0,0.8663793103448276,232.0,Bearish
915,SeriouslyFurious,218.0,1.0,0.0,0.0,218.0,Bullish
184,babyPluto,215.0,1.0,0.0,0.0,215.0,Bullish
70,KansasCash,215.0,1.0,0.0,0.0,215.0,Bullish
4189,Secret__,0.0,0.0,212.0,1.0,212.0,Bearish
662,VikingTraders,199.0,0.9707317073170731,6.0,0.02926829268292683,205.0,Bullish
1173,johnv345,21.0,0.10344827586206896,182.0,0.896551724137931,203.0,Bearish
350,v3tuz,68.0,0.3434343434343434,130.0,0.6565656565656566,198.0,Unpredictable
4228,lotsofaloha,0.0,0.0,189.0,1.0,189.0,Bearish
3282,la_pulga,89.0,0.489010989010989,93.0,0.510989010989011,182.0,Unpredictable
127,LeeroyStonkins,180.0,0.994475138121547,1.0,0.0055248618784530384,181.0,Bullish
600,BULLiSH_Y0DA_NUTS,139.0,0.7853107344632768,38.0,0.21468926553672316,177.0,Unpredictable
833,neotrades,175.0,1.0,0.0,0.0,175.0,Bullish
4238,sean1967,0.0,0.0,175.0,1.0,175.0,Bearish
2062,Shaggad,167.0,1.0,0.0,0.0,167.0,Bullish
204,RealTimeTradingIdeas,77.0,0.46107784431137727,90.0,0.5389221556886228,167.0,Unpredictable
2,risksavage_inthemarket,44.0,0.28205128205128205,112.0,0.717948717948718,156.0,Unpredictable
1459,Joe_Buydem_Dips,152.0,1.0,0.0,0.0,152.0,Bullish
2112,BurgerFlipper5000,150.0,1.0,0.0,0.0,150.0,Bullish
1339,Bagholders_Anonymous,149.0,1.0,0.0,0.0,149.0,Bullish
214,PajamaTrader,143.0,0.9930555555555556,1.0,0.006944444444444444,144.0,Bullish
1153,50centshortspylongvix,9.0,0.0661764705882353,127.0,0.9338235294117647,136.0,Bearish
153,soldierofcourage,132.0,1.0,0.0,0.0,132.0,Bullish
1522,HollywoodWolf777,131.0,1.0,0.0,0.0,131.0,Bullish
1296,Montauk715,38.0,0.2900763358778626,93.0,0.7099236641221374,131.0,Unpredictable
26,bearorbullish,57.0,0.47107438016528924,64.0,0.5289256198347108,121.0,Unpredictable
73,moenychaser,105.0,0.8898305084745762,13.0,0.11016949152542373,118.0,Bullish
227,tsb11,116.0,1.0,0.0,0.0,116.0,Bullish
28,Billy_Walters_Jr,89.0,0.7672413793103449,27.0,0.23275862068965517,116.0,Unpredictable
123,UpDownSidways,113.0,0.9826086956521739,2.0,0.017391304347826087,115.0,Bullish
1048,FundaTech,30.0,0.2631578947368421,84.0,0.7368421052631579,114.0,Unpredictable
396,BlackGhost,9.0,0.07894736842105263,105.0,0.9210526315789473,114.0,Bearish
310,CrossingTrendsTA,46.0,0.40707964601769914,67.0,0.5929203539823009,113.0,Unpredictable
38,Quaranteam,31.0,0.2743362831858407,82.0,0.7256637168141593,113.0,Unpredictable
148,2020_25K_Challenge,75.0,0.6696428571428571,37.0,0.33035714285714285,112.0,Unpredictable
1911,BigGreenClifford,104.0,0.9629629629629629,4.0,0.037037037037037035,108.0,Bullish
1030,Str8Rippin,43.0,0.40186915887850466,64.0,0.5981308411214953,107.0,Unpredictable
403,Samuel21,53.0,0.5,53.0,0.5,106.0,Unpredictable
2413,Trebek,84.0,0.7924528301886793,22.0,0.20754716981132076,106.0,Unpredictable
1690,BullRiderrr,64.0,0.6153846153846154,40.0,0.38461538461538464,104.0,Unpredictable
103,Sharp_Shooter,101.0,0.9711538461538461,3.0,0.028846153846153848,104.0,Bullish
599,MartialLawYer,78.0,0.75,26.0,0.25,104.0,Unpredictable
136,erice579,100.0,0.9803921568627451,2.0,0.0196078431372549,102.0,Bullish
1330,YoungInsane,27.0,0.2647058823529412,75.0,0.7352941176470589,102.0,Unpredictable
238,Volatility888,101.0,1.0,0.0,0.0,101.0,Bullish
102,thewittywasp,101.0,1.0,0.0,0.0,101.0,Bullish
1021,torrotrader,97.0,0.9897959183673469,1.0,0.01020408163265306,98.0,Bullish
1771,OkieOkie,10.0,0.10204081632653061,88.0,0.8979591836734694,98.0,Bearish
452,SweepCast,82.0,0.845360824742268,15.0,0.15463917525773196,97.0,Bullish
49,Chartist420,96.0,1.0,0.0,0.0,96.0,Bullish
4804,Investfun,0.0,0.0,93.0,1.0,93.0,Bearish
631,Philllippisho,90.0,0.9782608695652174,2.0,0.021739130434782608,92.0,Bullish
