,Word,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
1,go,2706.0,0.5785760102629891,1971.0,0.4214239897370109,4677.0,Unpredictable
45,get,2176.0,0.56993190151912,1642.0,0.43006809848088007,3818.0,Unpredictable
20,market,1847.0,0.4859247566429887,1954.0,0.5140752433570113,3801.0,Unpredictable
52,bear,2991.0,0.8572656921754084,498.0,0.14273430782459157,3489.0,Bullish
111,buy,2016.0,0.6785594076068664,955.0,0.3214405923931336,2971.0,Unpredictable
73,com,2053.0,0.7462740821519448,698.0,0.25372591784805526,2751.0,Unpredictable
59,day,1733.0,0.655446293494705,911.0,0.344553706505295,2644.0,Unpredictable
82,not,1130.0,0.4698544698544699,1275.0,0.5301455301455301,2405.0,Unpredictable
32,stock,1393.0,0.6263489208633094,831.0,0.37365107913669066,2224.0,Unpredictable
37,like,1244.0,0.5626413387607417,967.0,0.43735866123925826,2211.0,Unpredictable
61,time,1237.0,0.5882073228720875,866.0,0.4117926771279125,2103.0,Unpredictable
342,week,1210.0,0.5885214007782101,846.0,0.41147859922178986,2056.0,Unpredictable
153,bull,799.0,0.3943731490621915,1227.0,0.6056268509378084,2026.0,Unpredictable
66,come,1146.0,0.5876923076923077,804.0,0.4123076923076923,1950.0,Unpredictable
6,today,1142.0,0.6048728813559322,746.0,0.3951271186440678,1888.0,Unpredictable
155,make,1209.0,0.6521035598705501,645.0,0.3478964401294498,1854.0,Unpredictable
27,see,995.0,0.5482093663911846,820.0,0.45179063360881544,1815.0,Unpredictable
36,look,1073.0,0.5911845730027548,742.0,0.40881542699724516,1815.0,Unpredictable
231,call,1282.0,0.7355134825014343,461.0,0.26448651749856567,1743.0,Unpredictable
115,put,707.0,0.4233532934131736,963.0,0.5766467065868264,1670.0,Unpredictable
181,no,727.0,0.4424832623250152,916.0,0.5575167376749848,1643.0,Unpredictable
420,trump,732.0,0.4592220828105395,862.0,0.5407779171894604,1594.0,Unpredictable
44,high,969.0,0.6288124594419209,572.0,0.3711875405580792,1541.0,Unpredictable
121,money,907.0,0.5974967061923584,611.0,0.40250329380764166,1518.0,Unpredictable
138,short,791.0,0.5410396716826266,671.0,0.45896032831737343,1462.0,Unpredictable
383,sell,555.0,0.3843490304709141,889.0,0.6156509695290858,1444.0,Unpredictable
454,back,825.0,0.5725190839694656,616.0,0.42748091603053434,1441.0,Unpredictable
69,trade,1084.0,0.7527777777777778,356.0,0.24722222222222223,1440.0,Unpredictable
30,good,906.0,0.6462196861626248,496.0,0.3537803138373752,1402.0,Unpredictable
117,tomorrow,798.0,0.5807860262008734,576.0,0.4192139737991266,1374.0,Unpredictable
223,big,749.0,0.550330639235856,612.0,0.449669360764144,1361.0,Unpredictable
412,next,785.0,0.585820895522388,555.0,0.4141791044776119,1340.0,Unpredictable
307,don,752.0,0.5662650602409639,576.0,0.43373493975903615,1328.0,Unpredictable
282,say,684.0,0.5327102803738317,600.0,0.4672897196261682,1284.0,Unpredictable
4,let,830.0,0.646921278254092,453.0,0.35307872174590804,1283.0,Unpredictable
234,news,690.0,0.5614320585842149,539.0,0.4385679414157852,1229.0,Unpredictable
744,think,658.0,0.5406737880032868,559.0,0.45932621199671325,1217.0,Unpredictable
214,lol,609.0,0.5020610057708161,604.0,0.49793899422918386,1213.0,Unpredictable
473,take,632.0,0.5231788079470199,576.0,0.4768211920529801,1208.0,Unpredictable
46,pump,580.0,0.5248868778280543,525.0,0.4751131221719457,1105.0,Unpredictable
2,green,816.0,0.7398005439709883,287.0,0.2601994560290118,1103.0,Unpredictable
10,us,658.0,0.6075715604801477,425.0,0.39242843951985223,1083.0,Unpredictable
185,spy,692.0,0.6540642722117203,366.0,0.34593572778827975,1058.0,Unpredictable
58,know,585.0,0.5635838150289018,453.0,0.43641618497109824,1038.0,Unpredictable
294,still,596.0,0.5797665369649806,432.0,0.42023346303501946,1028.0,Unpredictable
3,bullish,775.0,0.7696127110228401,232.0,0.23038728897715988,1007.0,Unpredictable
183,need,555.0,0.551142005958292,452.0,0.44885799404170806,1007.0,Unpredictable
566,people,520.0,0.5179282868525896,484.0,0.4820717131474104,1004.0,Unpredictable
144,close,537.0,0.5502049180327869,439.0,0.44979508196721313,976.0,Unpredictable
63,trading,831.0,0.859358841778697,136.0,0.140641158221303,967.0,Bullish
182,re,547.0,0.5745798319327731,405.0,0.4254201680672269,952.0,Unpredictable
140,dip,650.0,0.6863780359028511,297.0,0.3136219640971489,947.0,Unpredictable
290,new,584.0,0.620616365568544,357.0,0.3793836344314559,941.0,Unpredictable
126,win,644.0,0.6962162162162162,281.0,0.3037837837837838,925.0,Unpredictable
62,open,566.0,0.6145494028230185,355.0,0.38545059717698155,921.0,Unpredictable
176,long,549.0,0.6052921719955898,358.0,0.3947078280044101,907.0,Unpredictable
273,last,552.0,0.6085997794928335,355.0,0.3914002205071665,907.0,Unpredictable
384,right,500.0,0.5630630630630631,388.0,0.4369369369369369,888.0,Unpredictable
74,invite,882.0,0.9954853273137697,4.0,0.004514672686230248,886.0,Bullish
